FIELD003,FIELD009,TIMESTMP
247832451,DELETED,2023070510:28:31/255
247832451,DOWNLOAD,2023070510:32:31/288
247916071,BEING PICKED,2023070413:43:01/593
247918361,WAITING TO PICK,2023070412:16:31/789
247918361,BEING PICKED,2023070412:18:01/180
247918361,WAITING TO PICK,2023070413:06:06/780
247918361,BEING PICKED,2023070413:06:06/814
247918361,WAITING TO PICK,2023070413:21:30/954
247918361,BEING UNALLOC,2023070413:22:01/140
247918361,BEING PICKED,2023070413:22:01/991
248134061,WAITING TO PICK,2023070411:11:06/709
248134061,BEING UNALLOC,2023070411:11:31/153
248134061,BEING UNALLOC,2023070411:12:31/387
248134061,BEING PICKED,2023070411:12:32/139
248262081,BEING PICKED,2023070415:23:30/904
248422101,DELETED,2023070510:46:32/331
248432511,BEING UNALLOC,2023070511:56:30/916
248432511,BEING UNALLOC,2023070512:29:30/761
248432511,BEING ALLOCATED,2023070512:29:30/778
248432511,BEING PICKED,2023070512:30:01/131
248432511,BEING UNALLOC,2023070512:31:32/434
248432511,DELETED,2023070512:32:00/784
248432511,DOWNLOAD,2023070512:36:30/341
248432511,WAITING TO PICK,2023070513:07:02/207
248432511,BEING UNALLOC,2023070513:07:02/241
248432511,BEING UNALLOC,2023070513:07:31/754
248432511,BEING UNALLOC,2023070513:09:01/245
248432511,BEING ALLOCATED,2023070513:10:30/905
248432511,BEING PICKED,2023070513:10:31/097
248432511,UPLOADED,2023070513:26:01/734
248449421,DELETED,2023070514:36:31/534
248449421,DOWNLOAD,2023070514:40:34/034
248458771,BEING ALLOCATED,2023070507:16:32/216
248458771,BEING PICKED,2023070507:16:32/247
248458771,BEING UNALLOC,2023070511:43:01/713
248458771,DELETED,2023070511:43:01/932
248458771,DOWNLOAD,2023070511:46:31/838
248458771,BEING ALLOCATED,2023070511:53:02/464
248458771,BEING PICKED,2023070512:35:32/849
248458771,UPLOADED,2023070512:50:31/373
248465451,WAITING TO PICK,2023070412:43:31/524
248465451,BEING UNALLOC,2023070412:48:01/151
248465451,DELETED,2023070412:48:01/181
248481611,BEING UNALLOC,2023070513:13:01/834
248481611,DELETED,2023070513:13:01/884
248481611,DOWNLOAD,2023070513:20:31/031
248487181,BEING UNALLOC,2023070513:37:31/360
248487181,DELETED,2023070513:37:31/377
248487181,DOWNLOAD,2023070513:40:31/485
248509271,BEING UNALLOC,2023070507:55:32/702
248509271,BEING UNALLOC,2023070509:56:02/248
248509271,BEING UNALLOC,2023070513:16:00/750
248509271,BEING UNALLOC,2023070513:17:02/468
248509271,DELETED,2023070513:17:02/485
248509271,DOWNLOAD,2023070513:20:31/122
248553551,DELETED,2023070409:47:32/391
248574221,BEING UNALLOC,2023070507:55:32/608
248574221,BEING UNALLOC,2023070509:56:02/282
248574221,BEING UNALLOC,2023070514:17:34/080
248574221,DELETED,2023070514:17:34/111
248574221,DOWNLOAD,2023070514:22:31/565
248574221,BEING ALLOCATED,2023070514:30:03/221
248574221,BEING ALLOCATED,2023070514:30:31/346
248574221,BEING ALLOCATED,2023070514:30:32/065
248574221,BEING ALLOCATED,2023070514:31:03/810
248574221,BEING PICKED,2023070514:31:35/586
248588101,BEING UNALLOC,2023070507:17:31/317
248588101,BEING ALLOCATED,2023070507:18:00/751
248588101,BEING PICKED,2023070507:18:00/786
248588101,BEING UNALLOC,2023070510:44:30/649
248588101,DELETED,2023070510:44:30/945
248588101,DOWNLOAD,2023070511:07:31/074
248588101,BEING ALLOCATED,2023070511:18:01/157
248588101,BEING PICKED,2023070511:18:01/415
248588101,UPLOADED,2023070512:24:31/043
248589291,BEING ALLOCATED,2023070513:40:32/344
248589291,BEING ALLOCATED,2023070513:41:00/792
248589291,BEING ALLOCATED,2023070513:41:01/099